sentence_id	sentence	locale	reason
188621c0e045b36cfbfb43fa4e5167cb57592cbe251eb79d832e20b25a7825ae	მარგალეფ მანგარეფ რენა	ka	different-language
45d51c580a80fc8185c63ec5f8d97aead41aa9c61bb38c2f61437dea46cce057	ამდაღარი ღურა ჭუმეშავა.„დღევანდელი სიკვდილი ხვალამდისო“.	ka	sc-different-language
47235eb13620cc1baabb507d009f14ade171d6244ef00089580805f25aa3ae43	მონდას ოოთესია დო კობუქ გითოლუა.	ka	sc-different-language
4732b6f2fac9e192e2f576ec8f115fb1b95d99eed7576200b58a9c2053003289	დუდი აგირდებუ დო მართი მუთუნი შეგიტყვებუნია.	ka	sc-different-language
47c01ced85862b6938da2858edcbd4b56037054318f80ad769c79181e8852e7e	ამდღარ საქმე ჭუმეშა ვაგნოდვავ	ka	sc-different-language
47cd48c5683444c1ffe939bd3af09f2eada56d9dfd1f04309380b128a6a02fd4	მუჟღუ̂ერ, ლინთუ̂ ი ლუფხუ̂ და̈რ ი ჰაუ̂და̈რ ეშ იცა̄დუნა̄̈ლხ. 	ka	sc-different-language
4834ff3e7c5aa417010e411d995840c6d13e3c2249342c420b723ceb094bcd12	ირკოჩი დაბალ ღობერს გინურსია.ყველა დაბალ ღობეზე გადადისო	ka	sc-different-language
499e7653a95349a468dda46b2ebadac2f1b528cd1f51354471185b141e658c49	ნგერიში ოჭიშის სახარებას კითხულენდესია	ka	sc-different-language
49a29e66af9d06c2e637657acda71fe0374ef945757175f5836537261e94cb03	გურაფა ღურა დღაშახ რენია."	ka	sc-different-language
4a13f9dd2d9ed51ca3363080dc9ef8dc160df2e9d16c77d9683e88b619f01239	ჩე კიბირს ჩე გური უჯგუნია	ka	sc-different-language
4a9e90021b3a08993fbd66834950a96dfa2cc2d446733d35da1268896fd7e0b6	ნოსა ვამორწონს და კველა გეითუღია	ka	sc-different-language
4ae628ef98563ec66471c1c8fb5b4448949aecd95eb5db7b5c8ceec6e9218546	უჩა ქოთომი ხოლო ჩე კვერცხის სქუნსია.	ka	sc-different-language
4aeee6a33c29fa2db7af0f34d3f6263577f560afa6d2bcbb5644a3fff8cb9b60	ბჟას მინაჯინენი ირო მინახვილუა უჩასია	ka	sc-different-language
4b0d69b8545d79cd4a35769b95188d20e24fb893205a85a565ed5a955abf3493	უჩა ქოთომი ხოლო ჩე კვერცხის სქუნსია	ka	sc-different-language
4b4cf4c5f04cb64679077d7ace7a326f2a7f47537c5b7bd8e6d23a7de1d92d01	ადრეიანი ირფელი ჯგირი რე ღურაში 	ka	sc-different-language
4c1166be5737cce33e12091f3ed184337133d86ef22c5b13e03c7164392db3b5	ეფშა ჭირქაცალო ჸუნსია."სავსე ჭიქასავით ჰყავსო."სავსე ჭიქასავით ვუყურებ	ka	sc-different-language
4c30da768e7f5a1b54b141da5aca21cdd679e7af7eeb03f0a7c44feb704ab94c	ალალ-მართალ კოჩის ღორონთი ვემიოდინუანსია	ka	sc-different-language
4c462eb201a6b73ca1f2316f2c2952dc1f0cd6376d6066480a4e5475a6e936ba	ბრელ ფითქის ბრელ შურიში ებარა ოკონი	ka	sc-different-language
4d4bd784581b25238a51d697e4f2501f649d6444411f96b14bc346b49f35a461	ართიში მეტიშა ხვალე ბული იტყაბარუნია	ka	sc-different-language
4d5dab055c106fe3c52d29d8490d13f90e40b8b6ce7c59072f016b7162fd2a6e	ანწი მაჟია დუს მითინ ვემნორდგუნსია	ka	sc-different-language
4dc31f6212426a971d887ce8f7be7e2ccf05b8a510b07e5a1097fbd6b7b31a92	ადრე ენადგინა ჸურდგელც წიარი ვეგიოჭიშუანსია	ka	sc-different-language
4dd323f54d182050bbb398112af13f7886330bea7fc8d33559a84c4f1eda782f	გერიში შქურინით თხა მის უჭყვიდუნია	ka	sc-different-language
4ea342f280ccefd0069419a905bf1df83472b2be355b63069c438f648a798f55	კა სიტყვას ორხვალი კოც ქაარაგადაფუანანია.„	ka	sc-different-language
4ec9614a3a07298b2c5fdba73df36e036909eb60daa52c76b9b3939ee03e8feb	ჯგირი ჯოღორი კეტის ვემიგანცია 	ka	sc-different-language
4ed21dde2a9c1359a3846bf1bd948b59914a2860bac6e42d8bd4d53852927c3b	გერუა ქუგოშქურუნიადა ტყაშა ოკო ვედევა."მგლისა თუ გეშინიაო ტყეში არ უნდა წახვიდეო.	ka	sc-different-language
4fa8b36e5411f427b7ae47014cfb2e8b9daad3a3055be0fed56a8565125ed9cf	მუჟღუ̂ერ ხოშა ლაღა̈ლდ გუ̂ა̈ლი ლი.	ka	sc-different-language
4fe000891bb2ee365cfb7e44bde72c19d9de8ed1336f098482b0d7dfdaf4a895	სკარხალ ძუ̂ირდ ხოხა.	ka	sc-different-language
50089183c183f1b66bdc3b002bcaa3069da28270317836799622205b6ab0d95c	თ სენ ფაფირს ონოღია გიოდინუ ხინტკირიაქია."	ka	sc-different-language
500a8fbefa9188bbea571627af5c790cdab1968d66ee1980258abb196db8c3df	ნაჩუქებ მოზვერს  კიბირს ვაუსინჯენანი	ka	sc-different-language
50140f0be3148445116bfeef3a6d52fef77e9b63a12c34f05baf78a40ab39a19	ჭუმე	ka	sc-different-language
501bb9eb4439a46427615945d03f61ecadfc61b9707200b628eb47e01966564e	სი – პატონი მა – პატონი ცხენც მიქ გედგას ონანგერი?	ka	sc-different-language
5054b4f236867f293117ca23a525d735af0a18fed1a827652e309b6a7d632fbe	ტურაქ შხურიშ ქვათილას ქეკადინუა.	ka	sc-different-language
5064d41be8d7a6181ac0d4850cfe8ba051eda016656c1c0a3ece5187217e012f	თუნთიქ მიგერუა და ბაბა უწია.	ka	sc-different-language
506a400a3cb1286b11e4bdd61febbdd1b4d766cd9df269dbcfadc3651d9a27f8	ბრელ ფითქის ბრელ შურიშ  ებარა ოკონია.	ka	sc-different-language
50b86858b07878d3b3789772273b661e82ddff884a696144b93746cade896ebb	მუსჷთ შეხვადგქჷნი თის მეუხვადია	ka	sc-different-language
50e5ba48f3b7605527e982e7c1b7f417c78ab4700f0d14d7433f841325366992	შუ̂ა̈ნ ლახუ̂  ა̈დგი ლი.	ka	sc-different-language
510b2a2ba1a78e2b7ad8183adecc7cc6c1d0083c0fcc495b292ef92dfe1e8bbd	ახალი მოჯგირეშენი ჯვეშის ნუ მიოჸოთა	ka	sc-different-language
52656d5705794604e492320e8739b4c2072b3ca552f1ac17249df0c4ec7e0663	გინი ვენორენ თი ეზოს ღორონთ ვემნაჯინენია	ka	sc-different-language
52747fc1474d0c1985de4d69c7a0f3613bfe8c54d05e7ed93032653a2972c946	ვაჭრუა მუმა დო სქუაშქას რენია	ka	sc-different-language
5391e92b84f6b731b0736da18d4c058608f25a4dd89ba2a7241676d96c84e023	ნაგზაჲსგა ა̈რი იშგუ̂იდ ლადეღ. 	ka	sc-different-language
540f3b40b50ee25c7e5988894db39f13ec96de0927b609a6cf745a0f571851d0	ღეჯ რექო ბო?	ka	sc-different-language
54ca92b20e21e6a35aff3cb8011e3a4fc213dcb219654589f27ea7fcc3b7663e	ე ჯოღორ დიო ჭიჭე რე	ka	sc-different-language
54ec8417de771211b15e92497108e63836fae11ddc09ff31f655f8f716b60875	თუნთის ლაჸაფი-ლაჸაფით კოჩქ ქაჭკუმუუა	ka	sc-different-language
55554192d7f7d340d282c649f24ba39ef03d5f9e43650c55cb6920cd838696eb	მარტიქ საბერტე დოჭუა	ka	sc-different-language
56b08c4783fb2d433aae2e4156114a35c66789ff4af769e4811d68e6a90ea4cf	ამდღარ საქმე ჭუმეშა ვაგნო	ka	sc-different-language
57eaabfe08480d64d46b6efa61216bc7564640077ccf48301220ee2a264a6b7e	გვანაფა შელოცათ ვეჸუაფუ გასუქება შელოცვით არ იქნებაო	ka	sc-different-language
58361fb669454ded2548839bb3e3b6f8bbd8f4749dd3ba24e873d4eb68e3a76f	ჩენჯდა ბიჩო სლეფ და ბიჩ ონ	ka	sc-different-language
58a18074b808733e4e19b8677b3b4c28ec0b0c508aaf7f6686e99b8163881e9c	ჸუჩა ჩხოუ ხოლო ქაგუნია.	ka	sc-different-language
592fd3a13f553365d72d92a86e1deecc23e2c2222b444fd10ad726d83fff32f8	გოჟაჟილც ,გოჯღანჯღილს გოკვათილი გოტახილი უჯგუნია	ka	sc-different-language
5955ff651bf6ce3215c2ab7c8b60cf8b8230dcabb84bc9bf6a73fe786b91300c	ლაგვანც იშო ქინაღვარედა აშო ქინგოღვარანცია.	ka	sc-different-language
5969d7fb9579115717fdac0e92e8bc14620e10cf505e75a6078e8283b39b48e1	ჩე დღა რე	ka	sc-different-language
59bb749a4cec0b50deaa7811880dc3a0ef2e58a719b7d60d8ce312c93903cd83	გლახა მეზობელი თირობას თორს ვემერჩანსია.	ka	sc-different-language
5ab13d76f10ca983ee806c0956ab3fb07e2bd588d8753ba397e232c5c3396d78	ღურუს სამართალი ვაუღუნია	ka	sc-different-language
5bb195bb661e8ff19f732646af6914a05762d0f7e6a6bec684224681c219e45d	ადრეია ენადგინა	ka	sc-different-language
5bf13688dfb1c94b755358b25ac285fd094b18a76c0232912083e9ca5cc58e72	ჯინა ოკო ვარა არძას მუში ქჷმოხვადჷნია	ka	sc-different-language
5c5167314c486fae6c4938c0d52f894169f2efe015b302b88cfab2eb9849ebe6	ბორო სკოჩის ჭკუა აში მუში უბორაშიწკჷმა	ka	sc-different-language
5c9696d3dac1dd68e1467b3290e32c377595b0b11faea98a6412adbf05462e01	ჯგირო ქორდათ მარგალეფ	ka	sc-different-language
5cd1b3f88be8b79567e3d7ddaf20dfd24ad46fc5bff9c90fd51ed3e4e93b9f77	ანგიშ მანგი ჩანჩალაკია.ანგიშ მანგი თანგიენია.ალხანას ჩალხანა არ დაელევაო.	ka	sc-different-language
5cef1feea0b00cf7b80f870023c591c199e6f4bba92ae40b9013890375031a38	ართი კოც ხვალე სოფელი ვაშენებენია	ka	sc-different-language
5d0f94c4b55a03762730066faa55929ffcf8c9990a179d82dc47becb8d29abc3	არიკის ართკაკალი ტყურა ვარენია	ka	sc-different-language
5e117f804287f2cbea6aea72e590927572a03f65279a829f094e2d1d4631eac4	ალალ-მართალ კოჩის ღორონთი ვემიოდინუანსია.„ალალ-მართალ კაცს ღმერთი არ დაკარგავსო“  	ka	sc-different-language
5e26a19804a507de6293773f1deda54a134cc9900dbdc3b47b1f89bc274591a1	ჯიმა მუჭო რექ	ka	sc-different-language
5e5d9b331ecdbafd3fd1e47d41beaee026b5dd9a5edca7a32fb408f5b0c7f012	გოღა გოღაწო ირო ჭვენდუ	ka	sc-different-language
5ea7a723092e15db0906aac197f85daae9ea8b29cc743bd3dff71e222225b0be	ართი კოც ხვალე სოფელი ვაშენებენია."ერთი კაცი მარტო სოფელს ვერ ააშენებსო	ka	sc-different-language
5eaee19dfc5a4a2fc65c2fdc0077533fd0e3f9289e7da1285d6251e74fccaf1f	ანთხებულ ცხენს ნაბადის ვაძირანანია.„დამფრთხალ ცხენს ნაბადს არ აჩვენებენო“	ka	sc-different-language
5f13fc9006ed3395847cdd3075c129f7784e1e77da87c1674c8ae3111c5bfa8f	ათოფსუმაშ წამალ ღოლეს დო მაჟია ქოდიჭყუა.„ჩაფსმის წამალი გაუკეთეს და მეორე დაიწყოო	ka	sc-different-language
5f5192e36c9b279cd2c65401ae1a851e8e018577d4453c26f19f9d7723a8883a	უბრალოდ ბაღანააა	ka	sc-different-language
5f974cc2a761c57a0ffd589a0f10134a01202a3732ca8cfea8e86863162bf68c	დადია მურცია  დო ბაჩილა შარას გილაჩოქუდუა	ka	sc-different-language
5fe1cff660cfa3c54894342885178b3daa72353ab26d74326b875781287fd018	ნაფურცინა არზიანო აძირენია	ka	sc-different-language
600bfbb4730a20b4df1ab93b18701fbb708aeb36e2fa882d142276ff3f654e69	გვერქ თქუ: დიო დუს ქუაჩამუქ დო უკულ შხვასია	ka	sc-different-language
60dc4447fb7238de918099fa39b53a3a41518712c183868ba76291d27c20d67d	ამინდი ოჭუმარეშე მერჩქინდუნია	ka	sc-different-language
