file_id,text,duration
common_voice_ka_42534675_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534675_0 ფაილისთვის.,3.0
common_voice_ka_42119040_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119040_0 ფაილისთვის.,3.0
common_voice_ka_42113818_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113818_0 ფაილისთვის.,3.0
common_voice_ka_42534755_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534755_0 ფაილისთვის.,3.0
common_voice_ka_42119038_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119038_0 ფაილისთვის.,3.0
common_voice_ka_42115002_0,ეს არის ტექსტის მაგალითი common_voice_ka_42115002_0 ფაილისთვის.,3.0
common_voice_ka_42119261_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119261_0 ფაილისთვის.,3.0
common_voice_ka_42213912_0,ეს არის ტექსტის მაგალითი common_voice_ka_42213912_0 ფაილისთვის.,3.0
common_voice_ka_42114616_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114616_0 ფაილისთვის.,3.0
common_voice_ka_42113801_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113801_0 ფაილისთვის.,3.0
common_voice_ka_42114183_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114183_0 ფაილისთვის.,3.0
common_voice_ka_42113844_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113844_0 ფაილისთვის.,3.0
common_voice_ka_42119101_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119101_0 ფაილისთვის.,3.0
common_voice_ka_42119144_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119144_0 ფაილისთვის.,3.0
common_voice_ka_42534629_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534629_0 ფაილისთვის.,3.0
common_voice_ka_42534691_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534691_0 ფაილისთვის.,3.0
common_voice_ka_42119184_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119184_0 ფაილისთვის.,3.0
common_voice_ka_42534614_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534614_0 ფაილისთვის.,3.0
common_voice_ka_42119285_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119285_0 ფაილისთვის.,3.0
common_voice_ka_42113752_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113752_0 ფაილისთვის.,3.0
common_voice_ka_42114207_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114207_0 ფაილისთვის.,3.0
common_voice_ka_42119365_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119365_0 ფაილისთვის.,3.0
common_voice_ka_42114318_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114318_0 ფაილისთვის.,3.0
common_voice_ka_42119186_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119186_0 ფაილისთვის.,3.0
common_voice_ka_42114771_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114771_0 ფაილისთვის.,3.0
common_voice_ka_42612437_0,ეს არის ტექსტის მაგალითი common_voice_ka_42612437_0 ფაილისთვის.,3.0
common_voice_ka_42114141_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114141_0 ფაილისთვის.,3.0
common_voice_ka_42113846_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113846_0 ფაილისთვის.,3.0
common_voice_ka_42114515_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114515_0 ფაილისთვის.,3.0
common_voice_ka_42534736_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534736_0 ფაილისთვის.,3.0
common_voice_ka_42213891_0,ეს არის ტექსტის მაგალითი common_voice_ka_42213891_0 ფაილისთვის.,3.0
common_voice_ka_42534693_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534693_0 ფაილისთვის.,3.0
common_voice_ka_42119103_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119103_0 ფაილისთვის.,3.0
common_voice_ka_42119146_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119146_0 ფაილისთვის.,3.0
common_voice_ka_42114589_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114589_0 ფაილისთვის.,3.0
common_voice_ka_42534757_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534757_0 ფაილისთვის.,3.0
common_voice_ka_42114531_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114531_0 ფაილისთვის.,3.0
common_voice_ka_42114768_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114768_0 ფაილისთვის.,3.0
common_voice_ka_42119263_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119263_0 ფაილისთვის.,3.0
common_voice_ka_41972898_0,ეს არის ტექსტის მაგალითი common_voice_ka_41972898_0 ფაილისთვის.,3.0
common_voice_ka_42534677_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534677_0 ფაილისთვის.,3.0
common_voice_ka_42119007_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119007_0 ფაილისთვის.,3.0
common_voice_ka_42114198_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114198_0 ფაილისთვის.,3.0
common_voice_ka_42114264_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114264_0 ფაილისთვის.,3.0
common_voice_ka_42119343_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119343_0 ფაილისთვის.,3.0
common_voice_ka_42213888_0,ეს არის ტექსტის მაგალითი common_voice_ka_42213888_0 ფაილისთვის.,3.0
common_voice_ka_42114165_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114165_0 ფაილისთვის.,3.0
common_voice_ka_42114729_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114729_0 ფაილისთვის.,3.0
common_voice_ka_42113986_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113986_0 ფაილისთვის.,3.0
common_voice_ka_42213914_0,ეს არის ტექსტის მაგალითი common_voice_ka_42213914_0 ფაილისთვის.,3.0
common_voice_ka_42119123_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119123_0 ფაილისთვის.,3.0
common_voice_ka_42119166_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119166_0 ფაილისთვის.,3.0
common_voice_ka_42119302_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119302_0 ფაილისთვის.,3.0
common_voice_ka_42534673_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534673_0 ფაილისთვის.,3.0
common_voice_ka_42446946_0,ეს არის ტექსტის მაგალითი common_voice_ka_42446946_0 ფაილისთვის.,3.0
common_voice_ka_42113754_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113754_0 ფაილისთვის.,3.0
common_voice_ka_42114201_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114201_0 ფაილისთვის.,3.0
common_voice_ka_42612433_0,ეს არის ტექსტის მაგალითი common_voice_ka_42612433_0 ფაილისთვის.,3.0
common_voice_ka_42114906_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114906_0 ფაილისთვის.,3.0
common_voice_ka_42119363_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119363_0 ფაილისთვის.,3.0
common_voice_ka_42119326_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119326_0 ფაილისთვის.,3.0
common_voice_ka_42119182_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119182_0 ფაილისთვის.,3.0
common_voice_ka_42114279_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114279_0 ფაილისთვის.,3.0
common_voice_ka_42114983_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114983_0 ფაილისთვის.,3.0
common_voice_ka_42534668_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534668_0 ფაილისთვის.,3.0
common_voice_ka_42114513_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114513_0 ფაილისთვის.,3.0
common_voice_ka_42114981_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114981_0 ფაილისთვის.,3.0
common_voice_ka_42113796_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113796_0 ფაილისთვის.,3.0
common_voice_ka_42612449_0,ეს არის ტექსტის მაგალითი common_voice_ka_42612449_0 ფაილისთვის.,3.0
common_voice_ka_42119324_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119324_0 ფაილისთვის.,3.0
common_voice_ka_42534610_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534610_0 ფაილისთვის.,3.0
common_voice_ka_42119281_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119281_0 ფაილისთვის.,3.0
common_voice_ka_42114998_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114998_0 ფაილისთვის.,3.0
common_voice_ka_42534729_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534729_0 ფაილისთვის.,3.0
common_voice_ka_42119345_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119345_0 ფაილისთვის.,3.0
common_voice_ka_42119300_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119300_0 ფაილისთვის.,3.0
common_voice_ka_42119258_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119258_0 ფაილისთვის.,3.0
common_voice_ka_42119298_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119298_0 ფაილისთვის.,3.0
common_voice_ka_42119164_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119164_0 ფაილისთვის.,3.0
common_voice_ka_42534609_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534609_0 ფაილისთვის.,3.0
common_voice_ka_42119102_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119102_0 ფაილისთვის.,3.0
common_voice_ka_42113847_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113847_0 ფაილისთვის.,3.0
common_voice_ka_42114138_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114138_0 ფაილისთვის.,3.0
common_voice_ka_42114591_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114591_0 ფაილისთვის.,3.0
common_voice_ka_42612436_0,ეს არის ტექსტის მაგალითი common_voice_ka_42612436_0 ფაილისთვის.,3.0
common_voice_ka_42114140_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114140_0 ფაილისთვის.,3.0
common_voice_ka_42119323_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119323_0 ფაილისთვის.,3.0
common_voice_ka_42119366_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119366_0 ფაილისთვის.,3.0
common_voice_ka_42119022_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119022_0 ფაილისთვის.,3.0
common_voice_ka_42114529_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114529_0 ფაილისთვის.,3.0
common_voice_ka_42114319_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114319_0 ფაილისთვის.,3.0
common_voice_ka_42119286_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119286_0 ფაილისთვის.,3.0
common_voice_ka_42534617_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534617_0 ფაილისთვის.,3.0
common_voice_ka_42119187_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119187_0 ფაილისთვის.,3.0
common_voice_ka_42114770_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114770_0 ფაილისთვის.,3.0
common_voice_ka_42119006_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119006_0 ფაილისთვის.,3.0
common_voice_ka_42114298_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114298_0 ფაილისთვის.,3.0
common_voice_ka_42114164_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114164_0 ფაილისთვის.,3.0
common_voice_ka_42446943_0,ეს არის ტექსტის მაგალითი common_voice_ka_42446943_0 ფაილისთვის.,3.0
common_voice_ka_42213911_0,ეს არის ტექსტის მაგალითი common_voice_ka_42213911_0 ფაილისთვის.,3.0
common_voice_ka_42119262_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119262_0 ფაილისთვის.,3.0
common_voice_ka_42114769_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114769_0 ფაილისთვის.,3.0
common_voice_ka_42114807_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114807_0 ფაილისთვის.,3.0
common_voice_ka_42115001_0,ეს არის ტექსტის მაგალითი common_voice_ka_42115001_0 ფაილისთვის.,3.0
common_voice_ka_42534756_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534756_0 ფაილისთვის.,3.0
common_voice_ka_42114497_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114497_0 ფაილისთვის.,3.0
common_voice_ka_42119260_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119260_0 ფაილისთვის.,3.0
common_voice_ka_42213913_0,ეს არის ტექსტის მაგალითი common_voice_ka_42213913_0 ფაილისთვის.,3.0
common_voice_ka_42534649_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534649_0 ფაილისთვის.,3.0
common_voice_ka_42119039_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119039_0 ფაილისთვის.,3.0
common_voice_ka_42114166_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114166_0 ფაილისთვის.,3.0
common_voice_ka_42113777_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113777_0 ფაილისთვის.,3.0
common_voice_ka_42113819_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113819_0 ფაილისთვის.,3.0
common_voice_ka_42534708_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534708_0 ფაილისთვის.,3.0
common_voice_ka_42119364_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119364_0 ფაილისთვის.,3.0
common_voice_ka_42114107_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114107_0 ფაილისთვის.,3.0
common_voice_ka_42612434_0,ეს არის ტექსტის მაგალითი common_voice_ka_42612434_0 ფაილისთვის.,3.0
common_voice_ka_42119185_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119185_0 ფაილისთვის.,3.0
common_voice_ka_42534615_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534615_0 ფაილისთვის.,3.0
common_voice_ka_42119284_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119284_0 ფაილისთვის.,3.0
common_voice_ka_42534628_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534628_0 ფაილისთვის.,3.0
common_voice_ka_42119100_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119100_0 ფაილისთვის.,3.0
common_voice_ka_42534690_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534690_0 ფაილისთვის.,3.0
common_voice_ka_42114617_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114617_0 ფაილისთვის.,3.0
common_voice_ka_42113845_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113845_0 ფაილისთვის.,3.0
common_voice_ka_42114984_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114984_0 ფაილისთვის.,3.0
common_voice_ka_42114182_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114182_0 ფაილისთვის.,3.0
common_voice_ka_42534611_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534611_0 ფაილისთვის.,3.0
common_voice_ka_42119280_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119280_0 ფაილისთვის.,3.0
common_voice_ka_42114818_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114818_0 ფაილისთვის.,3.0
common_voice_ka_42119325_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119325_0 ფაილისთვის.,3.0
common_voice_ka_42119024_0,ეს არის ტექსტის მაგალითი common_voice_ka_42119024_0 ფაილისთვის.,3.0
common_voice_ka_42534749_0,ეს არის ტექსტის მაგალითი common_voice_ka_42534749_0 ფაილისთვის.,3.0
common_voice_ka_42114512_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114512_0 ფაილისთვის.,3.0
common_voice_ka_42114980_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114980_0 ფაილისთვის.,3.0
common_voice_ka_42114186_0,ეს არის ტექსტის მაგალითი common_voice_ka_42114186_0 ფაილისთვის.,3.0
common_voice_ka_42113797_0,ეს არის ტექსტის მაგალითი common_voice_ka_42113797_0 ფაილისთვის.,3.0
